"num","treatment","temp","bug.id","tp.5","age.5","mass.5","tp.wander","mass.wander","age.wander","age.T8","instar.T8","mass.T8","age.T9","instar.T9","mass.T9","age.T10","instar.T10","mass.T10","age.T11","instar.T11","mass.T11","age.T12","instar.T12","mass.T12","age.T13","instar.T13","mass.T13","age.T14","instar.T14","mass.T14","age.T15","instar.T15","mass.T15","age.T16","instar.T16","mass.T16","age.T17","instar.T17","mass.T17","age.T18","instar.T18","mass.T18","age.T19","instar.T19","mass.T19","age.T20","instar.T20","mass.T20","age.T21","instar.T21","mass.T21","age.T22","instar.T22","mass.T22","age.T23","instar.T23","mass.T23","age.T24","instar.T24","mass.T24","age.T25","instar.T25","mass.T25","age.T26","instar.T26","mass.T26","age.T27","instar.T27","mass.T27","age.T28","instar.T28","mass.T28","age.T29","instar.T29","mass.T29","age.T30","instar.T30","mass.T30","age.T31","instar.T31","mass.T31","age.T32","instar.T32","mass.T32","age.T33","instar.T33","mass.T33","age.T34","instar.T34","mass.T34","age.T35","instar.T35","mass.T35","age.T36","instar.T36","mass.T36","mass.gain.T8","mass.gain.T9","mass.gain.T10","mass.gain.T11","mass.gain.T12","mass.gain.T13","mass.gain.T14","mass.gain.T15","mass.gain.T16","mass.gain.T17","mass.gain.T18","mass.gain.T19","mass.gain.T20","mass.gain.T21","mass.gain.T22","mass.gain.T23","mass.gain.T24","mass.gain.T25","mass.gain.T26","mass.gain.T27","mass.gain.T28","mass.gain.T29","mass.gain.T30","mass.gain.T31","mass.gain.T32","mass.gain.T33","mass.gain.T34","mass.gain.T35","mass.gain.T36","mass.gain.4","mass.gain.5","mass.gain.wan"
120,"control",20,"20_c_11","T21",360.8666667,1460.73,"T29",10394.43,556.6833333,96.65,3,157.21,101.9333333,3,167.27,120.8,3,188.63,126.0166667,3,190.46,145.25,3,186.21,169.05,4,189.45,191.95,"4",312.34,216.1666667,"4",481.04,239.7666667,"4",754.21,262.05,"4",977.04,288.8,"4",1436.87,314.7333333,"4",1367.51,338.4666667,"4",1359.31,360.8666667,"5",1460.73,384.4666667,"5",2044.46,408.4,"5",3065.65,435.2,5,4837.62,460.3,5,6475.46,484.8,"5",7454.05,508.9833333,"5",9281.66,533.35,"5",11066.32,556.6833333,"w",10394.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.9,131.96,153.32,155.15,150.9,154.14,277.03,445.73,718.9,941.73,1401.56,1332.2,1324,1425.42,2009.15,3030.34,4802.31,6440.15,7418.74,9246.35,11031.01,10359.12,NA,NA,NA,NA,NA,NA,NA,154.14,1425.42,10359.12
121,"control",20,"20_c_12","T23",408.7333333,1256.82,"T36",8674.77,725.8166667,96.15,3,209.85,101.6833333,3,208.9,120.2833333,4,198.83,125.6333333,4,227.69,145.0333333,4,345.43,168.35,4,335.99,192.1166667,"4",543.89,215.9833333,"4",534.38,239.4166667,"4",530.39,262.4333333,"4",635.1,288.5,"4",877.46,315.1,"4",1220.32,338.8166667,"4",1225.82,360.4166667,"4",1198.96,384.8666667,"4",1898.2,408.7333333,"5",1256.82,435.2333333,5,2029.73,460.3666667,5,2976.84,484.7166667,"5",2907.61,509.1166667,"5",3391.48,533.1833333,"5",3584.49,556.4166667,"5",3665.65,578.6833333,"5",5126.94,604.5166667,"5",6387.14,629.8666667,"5",7506.62,652.9333333,"5",9404.96,675.8333333,5,9414.83,699.5833333,5,9583.87,725.8166667,"w",8674.77,155.16,154.21,144.14,173,290.74,281.3,489.2,479.69,475.7,580.41,822.77,1165.63,1171.13,1144.27,1843.51,1202.13,1975.04,2922.15,2852.92,3336.79,3529.8,3610.96,5072.25,6332.45,7451.93,9350.27,9360.14,9529.18,8620.08,144.14,1202.13,8620.08
122,"control",20,"20_c_13","T23",408.4,1361.94,"T32",11590.29,629.8833333,96.36666667,3,222.01,101.6666667,3,231.21,120.5333333,3,227.08,125.3833333,3,226.27,144.9333333,4,228.63,168.5833333,4,377.51,192.15,"4",529.74,215.6833333,"4",526.96,239.8666667,"4",522.76,262.4333333,"4",701,289.0166667,"4",689.68,314.7333333,"4",1144.83,338.5,"4",1460.67,360.6333333,"4",1414.13,384.5833333,"4",1405.61,408.4,"5",1361.94,435.35,5,2063.71,460.5,5,3123.23,484.6333333,"5",4477.21,508.8833333,"5",6334.07,533.0166667,"5",8039.76,556.55,"5",9741.52,578.5666667,"5",11331.42,604.4333333,"5",11709.71,629.8833333,"w",11590.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.82,188.02,183.89,183.08,185.44,334.32,486.55,483.77,479.57,657.81,646.49,1101.64,1417.48,1370.94,1362.42,1318.75,2020.52,3080.04,4434.02,6290.88,7996.57,9698.33,11288.23,11666.52,11547.1,NA,NA,NA,NA,185.44,1318.75,11547.1
123,"control",20,"20_c_14","T18",288.85,1434.95,"T26",10973.41,484.5166667,96.53333333,3,208.33,101.9166667,3,207.2,120.6833333,3,204.85,125.9833333,4,200.23,145.1166667,4,305.07,169,4,530.22,191.7666667,"4",908.14,216.1333333,"4",1447,239.0833333,"4",1511.61,262.5666667,"4",1496.87,288.85,"5",1434.95,314.8333333,"5",2066.68,338.8833333,"5",3349.83,360.2166667,"5",4439.93,384.9333333,"5",6325.28,408.7666667,"5",8450.59,435.75,5,9582.15,460.3,5,11463.44,484.5166667,"w",10973.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.31,166.18,163.83,159.21,264.05,489.2,867.12,1405.98,1470.59,1455.85,1393.93,2025.66,3308.81,4398.91,6284.26,8409.57,9541.13,11422.42,10932.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.21,1393.93,10932.39
124,"control",20,"20_c_15","T19",314.75,1312.4,"T26",10336.22,484.25,96.56666667,3,207.31,101.75,3,206.33,120.7333333,4,195.14,125.8666667,4,215.21,145.2166667,4,339.85,168.8833333,4,534.41,191.9166667,"4",928.11,215.9833333,"4",946.6,239.2833333,"4",1447.42,262.4833333,"4",1386.93,288.85,"4",1377.94,314.75,"5",1312.4,338.8166667,"5",1949.44,360.25,"5",2928.91,384.8666667,"5",4485.28,408.4,"5",6315.27,435.5,5,8747.34,460.0666667,5,10490.85,484.25,"w",10336.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.35,152.37,141.18,161.25,285.89,480.45,874.15,892.64,1393.46,1332.97,1323.98,1258.44,1895.48,2874.95,4431.32,6261.31,8693.38,10436.89,10282.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141.18,1258.44,10282.26
125,"control",20,"20_c_16","T22",384.6,1125.66,"T31",9345.47,604.5,96.6,3,159.35,101.6833333,3,161.06,120.75,3,159.5,125.8333333,3,158.91,145.25,4,152.73,168.8,4,243.05,191.9333333,"4",434.62,215.2833333,"4",482.69,239.5,"4",627.25,262,"4",751.43,288.5666667,"4",925.05,314.85,"4",1134.21,338.9166667,"4",1090.75,360.4333333,"4",1083.31,384.6,"5",1125.66,408.5,"5",1662.26,435.2166667,5,2701.93,460.0166667,5,3929.19,484.7,"5",4693.08,508.9833333,"5",6856.33,533.0166667,"5",7118.96,556.4333333,"5",9571.03,578.4333333,"5",10470.67,604.5,"w",9345.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.36,122.07,120.51,119.92,113.74,204.06,395.63,443.7,588.26,712.44,886.06,1095.22,1051.76,1044.32,1086.67,1623.27,2662.94,3890.2,4654.09,6817.34,7079.97,9532.04,10431.68,9306.48,NA,NA,NA,NA,NA,113.74,1086.67,9306.48
126,"control",20,"20_c_17","T22",384.75,1538.96,"T31",12622.76,604.4333333,96.36666667,3,245.13,101.4333333,3,239.79,120.5333333,3,236.91,125.6833333,3,236.25,145.3333333,4,228.65,168.3333333,4,364.98,191.8333333,"4",398.21,215.0166667,"4",611.32,238.8833333,"4",746.48,262.0333333,"4",810.13,289,"4",1097.59,314.3,"4",1618.66,338.7,"4",1595.53,360.2333333,"4",1589.06,384.75,"5",1538.96,408.5333333,"5",2303.35,435.6166667,5,3618.26,460.25,5,4982.78,484.3833333,"5",6956.55,508.7666667,"5",9218.31,532.7833333,"5",10910.25,556.3166667,"5",12486.69,578.4833333,"5",13485.11,604.4333333,"w",12622.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.96,196.62,193.74,193.08,185.48,321.81,355.04,568.15,703.31,766.96,1054.42,1575.49,1552.36,1545.89,1495.79,2260.18,3575.09,4939.61,6913.38,9175.14,10867.08,12443.52,13441.94,12579.59,NA,NA,NA,NA,NA,185.48,1495.79,12579.59
127,"control",20,"20_c_18","T18",288.65,1350.44,"T27",11754.11,508.8,96.08333333,3,243.03,101.65,3,242.25,120.2333333,4,232.5,125.3333333,4,258.95,144.6333333,4,393.79,168.7,4,619.74,191.9,"4",1066.73,215.7166667,"4",1178.1,239.6833333,"4",1420.06,261.8166667,"4",1408.96,288.65,"5",1350.44,314.4666667,"5",1950.91,338.4833333,"5",2511.37,360.5333333,"5",3639.62,384.3833333,"5",5288.75,408.5333333,"5",7250.44,435.4666667,5,9169.76,459.9333333,5,11287.93,484.2166667,"5",12728.44,508.8,"w",11754.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.33,186.55,176.8,203.25,338.09,564.04,1011.03,1122.4,1364.36,1353.26,1294.74,1895.21,2455.67,3583.92,5233.05,7194.74,9114.06,11232.23,12672.74,11698.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.8,1294.74,11698.41
128,"control",20,"20_c_19","T18",288.4,1715.49,"T26",12798.75,484.35,96.05,3,228.02,101.55,3,226.94,120.2166667,4,214.77,125.2333333,4,232.19,144.6166667,4,359.59,168.5833333,4,584.95,191.8666667,"4",1009.25,215.25,"4",1591.99,239.3,"4",1632.96,262.0666667,"4",1624.34,288.4,"5",1715.49,314.4333333,"5",2636.82,338.15,"5",4032.1,360.65,"5",5847.31,384.1333333,"5",8186.49,408.5333333,"5",10175.58,435.6,5,11767.17,460.0666667,5,13531.66,484.35,"w",12798.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.78,179.7,167.53,184.95,312.35,537.71,962.01,1544.75,1585.72,1577.1,1668.25,2589.58,3984.86,5800.07,8139.25,10128.34,11719.93,13484.42,12751.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.53,1668.25,12751.51
129,"control",20,"20_c_20","T21",360.1833333,1959.95,"T29",13714.77,556.3666667,96.08333333,3,216.27,101.5,3,239.34,120.25,3,281.63,125.1833333,3,283.85,144.65,3,277.73,168.4666667,4,263.55,191.8666667,"4",401.77,215.4833333,"4",542.63,239.2,"4",812.1,262.1166667,"4",1339.94,288.3,"4",2016.25,314.7833333,"4",1952.55,338.5166667,"4",1940.24,360.1833333,"5",1959.95,384.5333333,"5",2797.48,408.2833333,"5",4274.82,435.2833333,5,6223.17,459.95,5,8708.12,484,"5",10955.72,508.5833333,"5",13295.01,532.7,"5",14554.01,556.3666667,"w",13714.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.53,195.6,237.89,240.11,233.99,219.81,358.03,498.89,768.36,1296.2,1972.51,1908.81,1896.5,1916.21,2753.74,4231.08,6179.43,8664.38,10911.98,13251.27,14510.27,13671.03,NA,NA,NA,NA,NA,NA,NA,219.81,1916.21,13671.03
