RecordID,BugID,Date.start,Temp.rear,Temp.test,Date.0h,Time.0h,Fed.0h,Mass.0h,Date.6h,Time.6h,Fed.6h,Mass.6h,Date.24h,Time.24h,Fed.24h,Mass.24h,Date.30h,Time.30h,Fed.30h,Mass.30h,Date.48h,Time.48h,Fed.48h,Mass.48h,Date.54h,Time.54h,Fed.54h,Mass.54h,Date.72h,Time.72h,Fed.72h,Mass.72h,Date.96h,Time.96h,Fed.96h,Mass.96h,Date.120h,Time.120h,Fed.120h,Mass.120h,Date.144h,Time.144h,Fed.144h,Mass.144h,Date.wander,Date.pupa,Mass.pupa,Date.death,Notes
25,34_8,42449,11C_35C,34,42449,9:34,NA,1.7038,42449,16:10,1,2.0237,42450,9:35,1,3.7079,42450,16:16,1,4.7137,42451,10:59,1,6.7134,42451,16:09,1,7.1698,42452,9:24,1,9.9305,42453,9:39,1,8.6116,NA,NA,NA,NA,NA,NA,NA,NA,42454,42456,4.7297,42456,NA
30,34_13,42449,11C_35C,34,42449,9:39,NA,1.7108,42449,16:19,1,2.2804,42450,9:30,1,4.6503,42450,16:29,1,5.5048,42451,11:04,1,7.4088,42451,16:18,1,8.5461,42452,9:32,1,7.4849,42453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42452,42456,4.0746,42456,NA
7,25_7,42449,11C_35C,25,42449,9:11,NA,1.7551,42449,15:31,1,2.0193,42450,9:23,1,3.1226,42450,15:23,1,3.5471,42451,9:11,1,3.9465,42451,15:27,1,4.4274,42452,8:42,1,6.3523,42453,9:15,1,8.3487,42454,9:28,1,8.6657,NA,NA,NA,NA,42454,42461,4.683,42461,NA
29,34_12,42449,11C_35C,34,42449,9:38,NA,1.8047,42449,16:17,1,2.269,42450,9:31,1,4.6428,42450,16:27,1,5.5066,42451,11:03,1,8.2309,42451,16:16,1,9.1942,42452,9:30,1,8.3382,42453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42452,42456,4.1909,42456,NA
33,34_16,42449,11C_35C,34,42449,9:43,NA,1.8132,42449,16:23,1,2.2815,42450,9:29,1,4.509,42450,16:34,1,5.7807,42451,11:06,1,9.2635,42451,16:24,1,9.4038,42452,9:36,1,9.6005,42453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42452,42456,4.2308,42456,NA
28,34_11,42449,11C_35C,34,42449,9:37,NA,1.839,42449,16:16,1,2.1012,42450,9:31,1,4.6497,42450,16:25,1,4.619,42451,11:02,1,7.4473,42451,16:14,1,7.5283,42452,9:29,1,7.5921,42453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42452,42456,3.4909,42456,NA
26,34_9,42449,11C_35C,34,42449,9:34,NA,1.8962,42449,16:13,1,2.5063,42450,9:35,1,3.1065,42450,16:19,1,4.221,42451,11:00,1,6.8746,42451,16:11,1,7.6771,42452,9:20,1,7.8429,42453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42452,42456,3.1757,42456,NA
27,34_10,42449,11C_35C,34,42449,9:35,NA,1.908,42449,16:14,1,2.4709,42450,9:34,1,3.2588,42450,16:23,1,4.4388,42451,11:01,1,5.9998,42451,16:13,1,6.5248,42452,9:28,1,8.9851,42453,9:40,1,7.4689,NA,NA,NA,NA,NA,NA,NA,NA,42454,42456,4.5202,42456,NA
11,25_11,42449,11C_35C,25,42449,9:16,NA,1.9582,42449,15:43,1,2.3097,42450,9:24,1,3.4796,42450,15:34,1,4.3145,42451,9:15,1,6.0035,42451,15:35,1,6.682,42452,8:49,1,8.9213,42453,9:22,1,9.4596,42454,9:35,1,9.8056,NA,NA,NA,NA,42454,42461,5.4026,42461,NA
21,34_4,42449,11C_35C,34,42449,9:30,NA,1.9914,42449,16:00,1,2.6745,42450,9:33,1,5.1724,42450,16:05,1,6.3315,42451,10:39,1,9.2161,42451,15:59,1,10.3702,42452,9:10,1,10.7105,42453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42452,42456,4.7661,42456,NA
