"id","temp","treat","instar","log.cnsmp","log.cnsmp.se","mass.gain","mass.gain.se","log.mg","log.mg.se","age","age.se","mass","mass.se","cnsmp","cnsmp.se","log.mass","log.mass.se"
"20_c","20","control","3",0,0,0,0,0,0,0,0,47.5760465116279,1.40629202836804,0,0,3.84355051955331,0.030181282630206
"20_c","20","control","4",5.18199259194616,0.030255070314392,162.329756097561,4.74278063041808,5.0725771200887,0.0293014440893641,141.200813009756,3.48892008119561,210.288048780488,5.15466938708822,181.251205128205,5.74423575672858,5.33672362139272,0.0241613985896958
"20_c","20","control","5",6.51506541300329,0.0167858909873812,1281.75634146341,34.3523067474761,7.14163787524256,0.0268777497880551,349.51707317561,6.98509178789382,1329.71463414634,34.3920177496166,678.672883783784,11.4258029359408,7.17935708225183,0.0259275390190239
"20_c","20","control","stop",8.392793,0.03683668,10324.985,221.9219,9.231888,0.02237196,564.8136,9.934995,10371.99,222.0034,4521.435,154.6848,9.236519,0.02227472
"20_p","20","para","3",0,0,0,0,0,0,0,0,37.8752830188679,1.06191681181863,0,0,3.6134009663222,0.028602717251437
"20_p","20","para","4",5.32372062956987,0.0236067745492922,156.291320754717,5.68521298321947,5.01379218047771,0.0398870325481806,188.364150939623,4.1353074734039,194.166603773585,6.22035688394739,208.081880769231,4.94587431964123,5.23998238843912,0.0343036472980354
"20_p","20","para","5",6.4405535236427,0.0389341663450705,1177.09878787879,73.2538088416061,7.00325825929086,0.0675432591290997,390.1621212,7.74681145938973,1213.47333333333,73.620508904627,642.106827272727,25.2265411672132,7.03733113029171,0.065558247944474
"20_p","20","para","stop",7.131207,0.07476028,3040.969,251.1335,7.816265,0.10029755,530.9295,10.978871,3079.293,250.9695,1407.616,94.13993,7.836183,0.09813605
"25_c","25","control","3",0,0,0,0,0,0,0,0,55.7607692307692,2.97670012625533,0,0,3.97710895119234,0.0459352487202452
"25_c","25","control","4",5.34464640958587,0.0380371926793777,159.987105263158,8.36205419394762,5.02609842083538,0.0522077010105571,79.0403508768421,1.98552447064535,215.87,8.98137981365009,215.260338108108,8.84396072997221,5.34721840830256,0.0373560993818796
"25_c","25","control","5",6.95791165261026,0.0268463544929499,1805.45817948718,59.5926227841276,7.47605605955163,0.0353264068465782,195.500000002564,3.95171562458846,1861.21894871795,59.7547841587904,1064.76332894737,26.5500412735755,7.50798148377081,0.0339770384950999
"25_c","25","control","stop",8.565933,0.02616584,11470.715,196.2354,9.341629,0.01727234,307.0614,5.337777,11525.68,196.8093,5320.226,139.7783,9.346436,0.01723102
"25_p","25","para","3",0,0,0,0,0,0,0,0,49.1501886792453,2.08982106112705,0,0,3.85075565981569,0.0409748709278745
"25_p","25","para","4",5.60539488150475,0.0484654640587635,170.908235294118,7.85087470938252,5.08073237344574,0.0518305274154437,116.764705882941,3.7750857860266,220.585490196078,8.29821273605595,288.055765490196,13.8888071730051,5.35998559875935,0.0386233927538039
"25_p","25","para","5",6.83113756772669,0.0431091210729286,1399.10617647059,78.3603622731668,7.18333322687906,0.0635806113823093,226.639215682353,4.28953440486664,1449.37029411765,78.8705985610421,952.15193030303,37.1744137214765,7.22204089218634,0.0617039341347095
"25_p","25","para","stop",7.475401,0.05820187,3189.098,230.5902,7.883179,0.10303471,323.1815,4.325319,3239.798,231.1751,1885.833,96.84869,7.906531,0.1004022
"30_c","30","control","3",0,0,0,0,0,0,0,0,62.4690243902439,4.2332337694647,0,0,4.05861387047771,0.0593557046418454
"30_c","30","control","4",5.03660409598604,0.0488838887318748,134.8125,7.73167829120676,4.82141861868215,0.071350819825277,51.86708333325,1.88617311872717,197.9155,8.44061847556208,160.4430645,7.02182136684315,5.25336088576178,0.0419738065294058
"30_c","30","control","5",6.57204514056467,0.0405967824057841,1305.79769230769,118.737322448199,7.10633823262583,0.0500314826140546,133.207692300769,3.87147843394526,1369.54230769231,118.972519578712,746.014317435897,50.1327413939328,7.15919986671502,0.0481280850985591
"30_c","30","control","stop",8.325474,0.02196705,8805.928,185.016,9.074137,0.02144074,227.5927,4.692271,8870.53,184.4539,4166.484,87.7183,9.081652,0.02118177
"30_p","30","para","3",0,0,0,0,0,0,0,0,55.0455357142857,3.27255462307595,0,0,3.93968866081939,0.046210255751372
"30_p","30","para","4",5.31565708331089,0.0475606378485555,126.550925925926,6.52507068682788,4.74995151369567,0.0645223737461284,79.167901235,3.1044411581069,182.185555555556,6.84310156072646,214.034146296296,8.42305478362698,5.16608112519977,0.0394244686011187
"30_p","30","para","5",6.56565191175379,0.0409453767051527,1203.28195121951,70.4105842819757,7.01486774622008,0.0660732206135345,157.822764229268,3.79382292685348,1259.65317073171,70.2000530022375,734.50042425,31.5761803261861,7.06884426439994,0.062132467781276
"30_p","30","para","stop",7.444764,0.05233605,3508.838,250.8792,8.020392,0.08245197,262.5587,3.412339,3563.364,251.3386,1818.381,89.3703,8.040838,0.08065983
