"bug.id","treatment","temp","load","mass.T0","died","Timepoint","expct.hour","age","instar","tot.cnsmp","Date","time","fed","mass","mass.gain","log.mg","log.cnsmp"
"20_c_12","control",20,NA,54.69,0,"T32",624,629.8666667,"5",2616.90357,344,15.4,1,7506.62,7451.93,8.91622833822594,7.86974705431591
"20_c_12","control",20,NA,54.69,0,"T33",648,652.9333333,"5",3462.08205,345,14.46666667,1,9404.96,9350.27,9.14316049887115,8.14962543562862
"20_c_12","control",20,NA,54.69,0,"T34",672,675.8333333,"5",3578.39632,346,13.36666667,1,9414.83,9360.14,9.14421552662474,8.18267002372553
"20_c_12","control",20,NA,54.69,0,"T35",696,699.5833333,"5",3680.84937,347,13.11666667,1,9583.87,9529.18,9.16211394887489,8.21089881159634
"20_c_12","control",20,NA,54.69,0,"T36",720,725.8166667,"w",NA,348,15.35,NA,8674.77,8620.08,9.06184964435713,NA
"20_c_13","control",20,NA,43.19,0,"T23",408,408.4,"5",656.36092,335,9.966666667,0,1361.94,1318.75,7.18443959722438,6.48671082057578
"20_c_13","control",20,NA,43.19,0,"T24",432,435.35,"5",856.05214,336,12.91666667,1,2063.71,2020.52,7.6111101830095,6.75233128550168
"20_c_13","control",20,NA,43.19,0,"T25",456,460.5,"5",1154.84131,337,14.06666667,1,3123.23,3080.04,8.03269786289628,7.05171821957709
"20_c_13","control",20,NA,43.19,0,"T26",480,484.6333333,"5",1567.30978,338,14.2,1,4477.21,4434.02,8.39706190076599,7.35711591267118
"20_c_13","control",20,NA,43.19,0,"T27",504,508.8833333,"5",2271.04162,339,14.45,1,6334.07,6290.88,8.74685624451924,7.72799386866594
"20_c_13","control",20,NA,43.19,0,"T28",528,533.0166667,"5",3124.45538,340,14.58333333,1,8039.76,7996.57,8.98676797872241,8.04701526858226
"20_c_13","control",20,NA,43.19,0,"T29",552,556.55,"5",3936.74983,341,14.11666667,1,9741.52,9698.33,9.17970898472093,8.27811074561769
"20_c_13","control",20,NA,43.19,0,"T30",576,578.5666667,"5",4834.14744,342,12.13333333,1,11331.42,11288.23,9.3315158689452,8.4834600614189
"20_c_13","control",20,NA,43.19,0,"T31",600,604.4333333,"5",5302.0762,343,14,1,11709.71,11666.52,9.36447848029585,8.57585375868081
"20_c_13","control",20,NA,43.19,0,"T32",624,629.8833333,"w",NA,344,15.45,NA,11590.29,11547.1,9.35418960217243,NA
"20_c_14","control",20,NA,41.02,0,"T18",288,288.85,"5",685.93332,330,10.45,0,1434.95,1393.93,7.23988237485161,6.53078042183536
"20_c_14","control",20,NA,41.02,0,"T19",312,314.8333333,"5",881.35439,331,12.43333333,1,2066.68,2025.66,7.61365085236425,6.78145980384862
"20_c_14","control",20,NA,41.02,0,"T20",336,338.8833333,"5",1275.72405,332,12.48333333,1,3349.83,3308.81,8.1043438871132,7.1512691787613
"20_c_14","control",20,NA,41.02,0,"T21",360,360.2166667,"5",1656.84607,333,9.816666667,1,4439.93,4398.91,8.38911206194416,7.41267111630994
"20_c_14","control",20,NA,41.02,0,"T22",384,384.9333333,"5",2341.91192,334,10.53333333,1,6325.28,6284.26,8.74580337344003,7.75872293456913
"20_c_14","control",20,NA,41.02,0,"T23",408,408.7666667,"5",3120.62213,335,10.36666667,1,8450.59,8409.57,9.03712562205222,8.04578766156689
"20_c_14","control",20,NA,41.02,0,"T24",432,435.75,"5",3612.57248,336,13.35,1,9582.15,9541.13,9.16336720606516,8.19217539588723
"20_c_14","control",20,NA,41.02,0,"T25",456,460.3,"5",4485.67325,337,13.9,1,11463.44,11422.42,9.34333336969217,8.40864387471002
"20_c_14","control",20,NA,41.02,0,"T26",480,484.5166667,"w",NA,338,14.11666667,NA,10973.41,10932.39,9.29948522149395,NA
"20_c_15","control",20,NA,53.96,0,"T19",312,314.75,"5",648.825700000001,331,12.38333333,0,1312.4,1258.44,7.13762813763431,6.47516411360732
"20_c_15","control",20,NA,53.96,0,"T20",336,338.8166667,"5",845.273250000001,332,12.45,1,1949.44,1895.48,7.547227383595,6.73965994786453
"20_c_15","control",20,NA,53.96,0,"T21",360,360.25,"5",1120.04358,333,9.883333333,1,2928.91,2874.95,7.96379056177587,7.02112287424642
"20_c_15","control",20,NA,53.96,0,"T22",384,384.8666667,"5",1668.75072,334,10.5,1,4485.28,4431.32,8.39645278705271,7.41983055360914
"20_c_15","control",20,NA,53.96,0,"T23",408,408.4,"5",2417.45593,335,10.03333333,1,6315.27,6261.31,8.74214470737696,7.79047099758528
"20_c_15","control",20,NA,53.96,0,"T24",432,435.5,"5",3635.21443,336,13.13333333,1,8747.34,8693.38,9.07031709545623,8.19842337859914
"20_c_15","control",20,NA,53.96,0,"T25",456,460.0666667,"5",4950.49384,337,13.7,1,10490.85,10436.89,9.25310192433747,8.50724261624304
"20_c_15","control",20,NA,53.96,0,"T26",480,484.25,"w",NA,338,13.88333333,NA,10336.22,10282.26,9.2381753592049,NA
"20_c_16","control",20,NA,38.99,0,"T22",384,384.6,"5",645.65219,334,10.25,0,1125.66,1086.67,6.9908732531726,6.47026095321752
"20_c_16","control",20,NA,38.99,0,"T23",408,408.5,"5",781.665280000001,335,10.15,1,1662.26,1623.27,7.39219791227373,6.66142661822349
"20_c_16","control",20,NA,38.99,0,"T24",432,435.2166667,"5",1074.15964,336,12.86666667,1,2701.93,2662.94,7.88718605458001,6.97929390461879
"20_c_16","control",20,NA,38.99,0,"T25",456,460.0166667,"5",1473.9347,337,13.66666667,1,3929.19,3890.2,8.26621584917259,7.29569077054679
"20_c_16","control",20,NA,38.99,0,"T26",480,484.7,"5",1668.12653,338,14.35,1,4693.08,4654.09,8.44550168187895,7.41945643735582
"20_c_16","control",20,NA,38.99,0,"T27",504,508.9833333,"5",2497.78286,339,14.63333333,1,6856.33,6817.34,8.82722464543077,7.82315876136685
"20_c_16","control",20,NA,38.99,0,"T28",528,533.0166667,"5",2701.67706,340,14.66666667,1,7118.96,7079.97,8.86502494939065,7.90162799250229
"20_c_16","control",20,NA,38.99,0,"T29",552,556.4333333,"5",3678.96563,341,14.08333333,1,9571.03,9532.04,9.16241403460093,8.21038691284858
"20_c_16","control",20,NA,38.99,0,"T30",576,578.4333333,"5",4364.80243,342,12.08333333,1,10470.67,10431.68,9.25260260884933,8.38132820493547
"20_c_16","control",20,NA,38.99,0,"T31",600,604.5,"w",NA,343,14.15,NA,9345.47,9306.48,9.13846621070046,NA
"20_c_17","control",20,NA,43.17,0,"T22",384,384.75,"5",761.111190000001,334,10.43333333,0,1538.96,1495.79,7.31040977434947,6.63477945756968
"20_c_17","control",20,NA,43.17,0,"T23",408,408.5333333,"5",943.576270000001,335,10.21666667,1,2303.35,2260.18,7.72319973511245,6.84967719884934
"20_c_17","control",20,NA,43.17,0,"T24",432,435.6166667,"5",1359.36995,336,13.3,1,3618.26,3575.09,8.1817456296364,7.21477659932762
"20_c_17","control",20,NA,43.17,0,"T25",456,460.25,"5",1822.23378,337,13.93333333,1,4982.78,4939.61,8.50504165969704,7.50781837913888
"20_c_17","control",20,NA,43.17,0,"T26",480,484.3833333,"5",2641.77346,338,14.06666667,1,6956.55,6913.38,8.84121394333371,7.87920573575867
"20_c_17","control",20,NA,43.17,0,"T27",504,508.7666667,"5",3662.39383,339,14.45,1,9218.31,9175.14,9.12425293166194,8.20587226450925
"20_c_17","control",20,NA,43.17,0,"T28",528,532.7833333,"5",4607.01874,340,14.46666667,1,10910.25,10867.08,9.29349331477312,8.43533623265067
"20_c_17","control",20,NA,43.17,0,"T29",552,556.3166667,"5",5667.00919,341,14,1,12486.69,12443.52,9.42895528446741,8.64241677783762
"20_c_17","control",20,NA,43.17,0,"T30",576,578.4833333,"5",6430.90939,342,12.16666667,1,13485.11,13441.94,9.50613494889846,8.76887123646944
"20_c_17","control",20,NA,43.17,0,"T31",600,604.4333333,"w",NA,343,14.11666667,NA,12622.76,12579.59,9.43983093830838,NA
"20_c_18","control",20,NA,55.7,0,"T18",288,288.65,"5",645.21877,330,10.36666667,0,1350.44,1294.74,7.16606518177543,6.46958943758239
"20_c_18","control",20,NA,55.7,0,"T19",312,314.4666667,"5",827.64103,331,12.18333333,1,1950.91,1895.21,7.54708492931862,6.71857952173287
"20_c_18","control",20,NA,55.7,0,"T20",336,338.4833333,"5",1077.18485,332,12.2,1,2511.37,2455.67,7.80615491541842,6.98210629659792
"20_c_18","control",20,NA,55.7,0,"T21",360,360.5333333,"5",1449.62572,333,10.25,1,3639.62,3583.92,8.18421245241712,7.27906067795692
"20_c_18","control",20,NA,55.7,0,"T22",384,384.3833333,"5",1988.9768,334,10.1,1,5288.75,5233.05,8.56274956107527,7.59537561463311
"20_c_18","control",20,NA,55.7,0,"T23",408,408.5333333,"5",2739.45146,335,10.25,1,7250.44,7194.74,8.88110548246284,7.91551298225971
"20_c_18","control",20,NA,55.7,0,"T24",432,435.4666667,"5",3595.10875,336,13.18333333,1,9169.76,9114.06,9.11757355508063,8.18732952004532
"20_c_18","control",20,NA,55.7,0,"T25",456,459.9333333,"5",4881.7609,337,13.65,1,11287.93,11232.23,9.32654260326392,8.49326127392397
"20_c_18","control",20,NA,55.7,0,"T26",480,484.2166667,"5",5669.80099,338,13.93333333,1,12728.44,12672.74,9.44720850881385,8.64290929734039
"20_c_18","control",20,NA,55.7,0,"T27",504,508.8,"w",NA,339,14.51666667,NA,11754.11,11698.41,9.36720821411506,NA
"20_c_19","control",20,NA,47.24,0,"T18",288,288.4,"5",802.58419,330,10.18333333,0,1715.49,1668.25,7.41953045178372,6.68783675915886
"20_c_19","control",20,NA,47.24,0,"T19",312,314.4333333,"5",1104.07021,331,12.21666667,1,2636.82,2589.58,7.85925097938172,7.00675882082939
"20_c_19","control",20,NA,47.24,0,"T20",336,338.15,"5",1511.88418,332,11.93333333,1,4032.1,3984.86,8.29025745886314,7.32111195327641
"20_c_19","control",20,NA,47.24,0,"T21",360,360.65,"5",2166.95669,333,10.43333333,1,5847.31,5800.07,8.6656252654272,7.68107901518066
"20_c_19","control",20,NA,47.24,0,"T22",384,384.1333333,"5",3098.66878,334,9.916666667,1,8186.49,8139.25,9.00445331715952,8.03872787243712
"20_c_19","control",20,NA,47.24,0,"T23",408,408.5333333,"5",3779.7978,335,10.31666667,1,10175.58,10128.34,9.22309271412064,8.23742579511939
"20_c_19","control",20,NA,47.24,0,"T24",432,435.6,"5",4731.07712,336,13.38333333,1,11767.17,11719.93,9.36904609041692,8.46190817649174
"20_c_19","control",20,NA,47.24,0,"T25",456,460.0666667,"5",5854.18909,337,13.85,1,13531.66,13484.42,9.50929022389615,8.67491276772094
"20_c_19","control",20,NA,47.24,0,"T26",480,484.35,"w",NA,338,14.13333333,NA,12798.75,12751.51,9.45340497494668,NA
"20_c_2","control",20,NA,32.58,0,"T21",360,361.7833333,"5",702.29589,332,11.41666667,0,1192.7,1160.12,7.05627872702587,6.55435481094794
"20_c_2","control",20,NA,32.58,0,"T22",384,384.2666667,"5",833.77516,333,9.9,1,1582.45,1549.87,7.34592633542818,6.72596377368606
"20_c_2","control",20,NA,32.58,0,"T23",408,408.3166667,"5",965.735020000001,334,9.95,1,2078.39,2045.81,7.62354907807431,6.87288949016541
"20_c_2","control",20,NA,32.58,0,"T24",432,432.0166667,"5",1275.98003,335,9.65,1,3244.44,3211.86,8.07460548756629,7.15146981331205
"20_c_2","control",20,NA,32.58,0,"T25",456,458.0833333,"5",1553.4592,336,11.71666667,1,4150.3,4117.72,8.3230548911041,7.34823946521174
"20_c_2","control",20,NA,32.58,0,"T26",480,483.6,"5",2200.60448,337,13.23333333,1,5815.34,5782.76,8.66263635634597,7.69648736524216
"20_c_2","control",20,NA,32.58,0,"T27",504,507.9333333,"5",2951.32967,338,13.56666667,1,7697.53,7664.95,8.94441326812743,7.99001108337631
"20_c_2","control",20,NA,32.58,0,"T28",528,532.4666667,"5",3914.14183,339,14.1,1,9362.61,9330.03,9.1409935092703,8.2723513838861
"20_c_2","control",20,NA,32.58,0,"T29",552,544.5666667,"5",4478.10243,340,2.2,1,10222.45,10189.87,9.2291493685299,8.40695467094801
"20_c_2","control",20,NA,32.58,0,"T30",576,580.0333333,"w",NA,341,13.66666667,NA,9456.31,9423.73,9.15098625522627,NA
"20_c_20","control",20,NA,43.74,0,"T21",360,360.1833333,"5",NA,333,9.983333333,0,1959.95,1916.21,7.55810455586509,NA
"20_c_20","control",20,NA,43.74,0,"T22",384,384.5333333,"5",NA,334,10.33333333,1,2797.48,2753.74,7.92071526669825,NA
"20_c_20","control",20,NA,43.74,0,"T23",408,408.2833333,"5",NA,335,10.08333333,0,4274.82,4231.08,8.35021255860087,NA
